rpm,limite_mm
3.000000000000000000e+03,6.934570312500001887e-02
3.250000000000000000e+03,3.424804687500000722e-02
3.500000000000000000e+03,5.764648437500000805e-02
3.750000000000000000e+03,1.863378906249999745e-01
4.000000000000000000e+03,3.424804687500000722e-02
4.250000000000000000e+03,5.764648437500000805e-02
4.500000000000000000e+03,4.594726562500000416e-02
4.750000000000000000e+03,3.424804687500000722e-02
5.000000000000000000e+03,4.594726562500000416e-02
5.250000000000000000e+03,9.274414062499999889e-02
5.500000000000000000e+03,3.969238281250000444e-01
5.750000000000000000e+03,2.565332031250000533e-01
6.000000000000000000e+03,1.044433593750000167e-01
6.250000000000000000e+03,5.764648437500000805e-02
6.500000000000000000e+03,4.594726562500000416e-02
6.750000000000000000e+03,4.594726562500000416e-02
7.000000000000000000e+03,9.274414062499999889e-02
